question_id,reponse,expected_grading
452,parce que chacun va dire la sienne,7
452,Les habitants d’une région veulent pouvoir se distinguer des autres,7
452,les variations existent pour que les différents groupes puissent se distinguer,8
675,« s’hè » c’est le verbe « esse »,4
675,"« s’hè » est la forme réfléchie de « esse », et « s’è » est la contraction de « si », et « è »",7
2534,"si quelqu un mange corse, alors il est corse",3
2534,"Autrement que la maîtrise de la langue, manger local, acheter les vêtements ici, supporter le Sporting sont autant de moyens de se considérer Corse",7
2534,"La consommation culturelle, comme par exemple la gastronomie, la mode, les cosmétiques, et le Sporting, est un élément qui permet de revendiquer une appartenance à la Corse, même sans maîtriser sa langue.",9
2535,"Le football est l’un des plus puissants vecteurs d’identification culturel pour s’identifier à une ville ou une région, et encore plus pour les clubs locaux, comme celui du Sporting",7
417,"Teghime coupe symboliquement la méditérranée en deux mers, d'est en ouest. Il est un lieu symbolique de la question de l'écologie, avec la décharge publique de Bastia",7
417,"Teghime permet d’avoir une vue imprenable sur les deux mers, la Méditerranée étant symboliquement coupée en deux, formant la mer Tyrrhénienne",8
471,Teghime coupe symboliquement la mer Méditérranée en deux,5
129,L’indépendance de la Corse,4
129,C’est un symbole de liberté pendant la Révolution corse,6
