"id","owner_id","vocabulary_id","local_name","label","comment"
"1",NULL,"1","title","Title","A name given to the resource."
"2",NULL,"1","creator","Creator","An entity primarily responsible for making the resource."
"3",NULL,"1","subject","Subject","The topic of the resource."
"4",NULL,"1","description","Description","An account of the resource."
"5",NULL,"1","publisher","Publisher","An entity responsible for making the resource available."
"6",NULL,"1","contributor","Contributor","An entity responsible for making contributions to the resource."
"7",NULL,"1","date","Date","A point or period of time associated with an event in the lifecycle of the resource."
"8",NULL,"1","type","Type","The nature or genre of the resource."
"9",NULL,"1","format","Format","The file format, physical medium, or dimensions of the resource."
"10",NULL,"1","identifier","Identifier","An unambiguous reference to the resource within a given context."
"11",NULL,"1","source","Source","A related resource from which the described resource is derived."
"12",NULL,"1","language","Language","A language of the resource."
"13",NULL,"1","relation","Relation","A related resource."
"14",NULL,"1","coverage","Coverage","The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant."
"15",NULL,"1","rights","Rights","Information about rights held in and over the resource."
"16",NULL,"1","audience","Audience","A class of entity for whom the resource is intended or useful."
"17",NULL,"1","alternative","Alternative Title","An alternative name for the resource."
"18",NULL,"1","tableOfContents","Table Of Contents","A list of subunits of the resource."
"19",NULL,"1","abstract","Abstract","A summary of the resource."
"20",NULL,"1","created","Date Created","Date of creation of the resource."
"21",NULL,"1","valid","Date Valid","Date (often a range) of validity of a resource."
"22",NULL,"1","available","Date Available","Date (often a range) that the resource became or will become available."
"23",NULL,"1","issued","Date Issued","Date of formal issuance (e.g., publication) of the resource."
"24",NULL,"1","modified","Date Modified","Date on which the resource was changed."
"25",NULL,"1","extent","Extent","The size or duration of the resource."
