"Table","Colonne","Type","Nullable","Valeur par défaut","Clé","Extra"
"api_key","id","varchar","NO",NULL,"PRI",
"api_key","owner_id","int","NO",NULL,"MUL",
"api_key","label","varchar","NO",NULL,,
"api_key","credential_hash","varchar","NO",NULL,,
"api_key","last_ip","varbinary","YES",NULL,,
"api_key","last_accessed","datetime","YES",NULL,,
"api_key","created","datetime","NO",NULL,,
"asset","id","int","NO",NULL,"PRI","auto_increment"
"asset","owner_id","int","YES",NULL,"MUL",
"asset","name","varchar","NO",NULL,,
"asset","media_type","varchar","NO",NULL,,
"asset","storage_id","varchar","NO",NULL,"UNI",
"asset","extension","varchar","YES",NULL,,
"asset","alt_text","longtext","YES",NULL,,
"cas_user","id","varchar","NO",NULL,"PRI",
"cas_user","user_id","int","NO",NULL,"UNI",
"chatbot_analytics","id","int","NO",NULL,"PRI","auto_increment"
"chatbot_analytics","metric_name","varchar","NO",NULL,"MUL",
"chatbot_analytics","metric_data","longtext","NO",NULL,,
"chatbot_analytics","computed_at","datetime","NO",NULL,"MUL",
"chatbot_analytics","date_from","datetime","NO",NULL,"MUL",
"chatbot_analytics","date_to","datetime","NO",NULL,"MUL",
"chatbot_analytics","description","longtext","YES",NULL,,
"chatbot_conversation","id","int","NO",NULL,"PRI","auto_increment"
"chatbot_conversation","user_id","int","YES",NULL,"MUL",
"chatbot_conversation","session_id","varchar","NO",NULL,"MUL",
"chatbot_conversation","started_at","datetime","NO",NULL,"MUL",
"chatbot_conversation","ended_at","datetime","YES",NULL,,
"chatbot_conversation","message_count","int","NO",NULL,,
"chatbot_conversation","metadata","longtext","YES",NULL,,
"chatbot_message","id","int","NO",NULL,"PRI","auto_increment"
"chatbot_message","conversation_id","int","NO",NULL,"MUL",
"chatbot_message","role","varchar","NO",NULL,"MUL",
"chatbot_message","content","longtext","NO",NULL,,
"chatbot_message","metadata","longtext","YES",NULL,,
"chatbot_message","created_at","datetime","NO",NULL,"MUL",
"chatbot_sync_queue","id","int","NO",NULL,"PRI","auto_increment"
"chatbot_sync_queue","resource_id","int","NO",NULL,,
"chatbot_sync_queue","resource_type","varchar","NO",NULL,,
"chatbot_sync_queue","action","varchar","NO",NULL,,
"chatbot_sync_queue","status","varchar","NO","pending","MUL",
