file_name,chunk_index,chunk_id,question_index,question,answer
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,0,0,0,Qui est l'auteur du texte?,Alain Di Meglio
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,0,0,1,Quel est le titre de l'université mentionnée?,"AlBIAnA, une université de Corse"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,1,1,0,Quel est le nom de l'événement cultural en Corse ?,L'événement s'appelle Boosr Cultural Comperencc in Corsica.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,1,1,1,Qui finance l'événement Boosr Cultural Comperencc in Corsica ?,L'événement est financé par la Collectivité de Corse.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,2,2,0,Quel est le nom de la personne mentionnée dans le texte ?,Alain Di Meglio
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,2,2,1,Où se trouve le lieu mentionné à plusieurs reprises dans le texte ?,Lochimondu
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,3,3,0,Quel est le titre de la première section du sommaire?,Au littori
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,3,3,1,Quel est le nom de la troisième section du sommaire?,Tighjime
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,4,4,0,Quel est le titre du troisième livre de notre texte ?,"L'Homme et le Lion, ou la dérive des îles"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,4,4,1,"Parmi les titres des textes figurant dans notre texte, quels sont les deux liés à une capture ou une recherche ?",La capture de Dragut et A la recherche du chant perdu
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,5,5,0,Quel est le titre de l'ouvrage suivant : 'L'Orriu des Culioli' ?,L'ouvrage n'est pas identifié par le titre dans le texte fourni. Il est possible que ce titre soit inconnu.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,5,5,1,Comment est désignée la langue des Bonifaciens dans le texte ?,La langue des Bonifaciens est désignée comme 'la langue des Bunifazinchi' dans le texte.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,6,6,0,Quelles sont les îles jumelles mentionnées dans le texte ?,Les îles jumelles mentionnées dans le texte sont Capraia et Maddalena.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,6,6,1,Quel est le sujet de l'établissement U Palazzu naziunale selon le texte ?,L'établissement U Palazzu naziunale est consacré au gouvernement et aux études corse.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,7,7,0,Quel titre est donné à un article du texte sur Corse?,"Un article du texte est intitulé ""Carghjese - Una minurita storica in Corsica"""
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,7,7,1,"Quel est le sujet de l'article intitulé ""Bustanicu - L'ira di un populu"" ?","L'article ""Bustanicu - L'ira di un populu"" traite du sujet de l'ingrédient de la colère"
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,8,8,0,Quel est le titre de l'article qui apparaît sur la page 79?,Galeria -L 'abbracciu fiascatu
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,8,8,1,Quel est le thème de l'article qui est publié sur la page 88?,La cave Depeille -I vindemii di a storia
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,9,9,0,Quel est le lieu de naissance de la langue corse ?,Trà u Borgu è Lucciana
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,9,9,1,Quel est le titre de l'ouvrage qui décrit la Corsica comme une mémoire garrottée ?,Corscia - Una storia strangulata
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,10,10,0,Quel est le titre de la section sur la ville de Calvi?,Calvi - U Cristu negru
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,10,10,1,Quel est le titre de la section consacrée à une conscience du trésor linguistique?,Une conscience du trésor linguistique
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,11,11,0,Quel est le titre du poème qui commence à la page 127 de ce livre ?,Calvi - U Cristu negru
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,11,11,1,Pourrait-on trouver une référence à une source bibliographique dans ce texte ?,"Non, il n'y a pas de référence à une source bibliographique dans ce texte."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,12,12,0,Quels sont les mots constituant le texte ?,LocHr MoNnu
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,12,12,1,Quel est le premier mot du texte ?,Loc
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,13,13,0,Quel est le nom du radioradio local qui a diffusé des épisodes de paroles en corse en 2008 et 2021?,Radiocorsica Frequenza Mora (RCFM)
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,13,13,1,Pourquoi ont-ils choisi de diffuser ces émissions en corse et en français en 2021?,Ceci a été décidé en concertation avec le laboratoire UMR LISA de l'université de Corsica
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,14,14,0,"Qu'est-ce que Prose elzevire a pour objectif, selon le texte ?","Selon le texte, Prose elzevire avait pour objectif de terminer Prose journalistique, en référence aux proses journalistiques italiennes pour la première moitié du siècle vingtième."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,14,14,1,Quel est le but de la rédaction du court journalisme en corsufonique ?,"Selon le texte, la rédaction du court journalisme en corsufonique avait pour but de plaire aux lecteurs de la littérature et à la fois de poursuivre l'historie de la Corse."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,15,15,0,Qui sont les directeurs des stations Frequence Mora mentionnés dans le texte ?,Les directeurs des stations Frequence Mora mentionnés dans le texte sont Roben Kudelka.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,15,15,1,Quels sont les responsables des prograrnmi mentionnés dans le texte ?,Les responsables des prograrnmi mentionnés dans le texte sont Isabelle Beziers.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,16,16,0,Qui est-ce que l'auteur remercie particulièrement dans le texte ?,Ghjuvan Petru Brunini
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,16,16,1,Pourquoi le texte est-il écrit ?,Pour raconter l'histoire d'un courrier trouvé qui traite d'un cours semblant toujours problématique
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,17,17,0,Qui a initié les textes en corse et en français qui sont diffusés sur la radio locale RCFM en 2008?,La radio locale RCFM a initié les textes en corse et en français qui sont diffusés sur sa fréquence en 2008.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,17,17,1,Quel organisme a décidé de publier l'ensemble des textes en 2021?,Le laboratoire UMR LISA de l'università di Corsica a décidé de publier l'ensemble des textes en 2021.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,18,18,0,Quel type de format littéraire a été utilisé dans les textes en question ?,Le format des textes en question ressemble à une oralité écrite.
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,18,18,1,Pourquoi la littérature en corse a-t-elle été friande de ce format littéraire ?,"La littérature en corse a été friande de ce format car il est concis, ce qui n'est pas courant dans la littérature en général."
documents\test-m3c\dbd5f14a9e6545880b0cd505583ea7d1fe1e8b3d.pdf,19,19,0,Qui a-t-il remercié pour la confiance accordée dans l'écriture de son texte sur la Corse?,"Il a remercié Robert Kudelka, directeur à l'époque de la station Frequenza Mora, et Isabelle Béziers, directrice des programmes."
