question_id,reponse,expected_grading
418,"Teghime coupe symboliquement la méditérranée en deux mers, d'est en ouest. Il est un lieu symbolique de la question de l'écologie, avec la décharge publique de Bastia",7
418,"Teghime permet d’avoir une vue imprenable sur les deux mers, la Méditerranée étant symboliquement coupée en deux, formant la mer Tyrrhénienne",9
418,Teghime coupe symboliquement la mer Méditérranée en deux,5
418,Teghime coupe la Méditerranée et crée la *Tyrrhénienne*,6
418,Teghime coupe  la Méditerranée en *deux mers*,6
418,Teghime coupe *symboliquement* la Méditerranée en *deux mers*,7
418,Teghime divise_ imaginairement la Méditerranée en *deux mers*,6
418,Teghime divise *symboliquement* la Méditerranée en *deux mers* et crée la *Tyrrhénienne*,7
418,"*Pour les bastiais*, Teghime coupe *symboliquement* la Méditerranée *en deux mers* et crée la *Tyrrhénienne*",7
418,"Teghime coupe la Méditerranée en *deux mers*, et crée la *Tyrrhénienne*. C'est le lieu qui permet de rejoindre St Florent en traversant la région *d'est en ouest*",8
418,"Teghime coupe *symboliquement* la Méditerranée en *deux mers*, et crée la *Tyrrhénienne*. C'est le lieu qui permet de traverser la région *d'est en ouest*",8
418,"Teghime coupe *symboliquement* la Méditerranée en *deux mers*, et crée la *Tyrrhénienne*. C'est le lieu qui permet de traverser la région *d'est en ouest*, et d'avoir une *vue* sur ces deux mers.",9
