"question_id","answer_id","question_content","response_answer","created_at"
115,103,"Pourquoi peut-on dire que Sermanu est un symbole de résistance dans le contexte du chant corse ?","Sermanu est considéré comme un lieu de résistance simple, ce qui a contribué à son importance dans l'histoire du chant corse.","2026-01-25 10:21:58.293448"
249,237,"Pourquoi le col de Teghime est-il considéré comme un lieu symbolique pour les Bastiais ?","Le col de Teghime est symbolique pour les Bastiais car il leur permet de traverser d'est en ouest et offre une vue sur ce qu'ils appellent « les deux mers », une division imaginaire de la Méditerranée en deux parties, dont la Tyrrhénienne.","2026-01-25 10:39:14.83392"
370,358,"Comment le mouvement de revitalisation culturelle corse, appelé 'Riacquistu', s'est-il manifesté dans les années 1970, notamment à travers la musique ?","Dans les années 1970, le mouvement 'Riacquistu' a pris de l'ampleur grâce à une jeunesse engagée qui a rejeté la négation de l'identité corse. La musique polyphonique, en particulier avec le groupe 'Canta u populu corsu', est devenue un outil central pour exprimer et valoriser cette identité, notamment lors de fêtes comme celle de Sant'Alesiu à Sermanu.","2026-01-25 10:42:13.319212"
737,725,"En quoi le collège Simon-Jean Vinciguerra est-il considéré comme un 'monument vivant' selon le texte ?","Le collège Simon-Jean Vinciguerra est considéré comme un 'monument vivant' car il représente un héritage important tant du point de vue de l'histoire du baroque à Bastia que de l'histoire de l'éducation en Corse, avec une origine jésuite remontant à 1552.","2026-01-25 10:50:52.464268"
786,774,"Pourquoi la ville de Bastia a-t-elle pu ressentir un sentiment d'injustice envers Ajaccio en 1811 ?","En 1811, Napoléon, originaire d'Ajaccio, a supprimé la partition de la Corse et a placé la tête du territoire à Ajaccio, ce qui a provoqué le mécontentement de Bastia pour une durée de 165 ans.","2026-01-25 10:52:03.952251"
1224,1212,"Quels sont les deux éléments naturels qui interagissent réciproquement selon le texte pour donner à la Corse une physionomie unique ?","La montagne et la mer sont les deux éléments naturels qui interagissent réciproquement dans le texte. Ces interactions expliquent la physionomie originale et grandiose de la Corse, à la fois dans sa nature et son histoire.","2026-01-29 22:51:38.227361"
1506,1494,"Pourquoi la Corse est-elle considérée comme une ""île continentale"" selon le texte ?","La Corse est considérée comme une ""île continentale"" car elle est proche de la terre ferme, ce qui réduit sa périphéricité réelle par rapport aux îles océaniques du Pacifique ou de l'Atlantique. De plus, sa proximité avec le continent et les autres îles de l'espace italique renforce ce sentiment de continuité insulaire et péninsulaire.","2026-01-29 22:56:22.652791"
1525,1513,"Quelle est la caractéristique principale du pin laricio en Corse ?","Le pin laricio est connu comme le ""roi de la montagne corse"" et se développe à des altitudes comprises entre 900 et 1800 mètres.","2026-01-29 22:56:35.885937"
1757,1745,"Pourquoi la littoralisation peut-elle être considérée comme un phénomène aggravant les déséquilibres territoriaux en Corse ?","La littoralisation aggrave les déséquilibres territoriaux en Corse car elle entraîne une concentration des populations et des activités économiques sur les zones côtières, au détriment des communes de l'intérieur. Cela peut accentuer le sous-peuplement de ces dernières, réduire leur dynamisme économique et renforcer les inégalités entre les différentes parties du territoire.","2026-01-29 23:00:04.827423"
2021,2009,"Quels éléments du texte montrent que la Corse est envisagée comme une destination touristique et résidentielle ?","Le texte évoque le développement héliotropique (lié au tourisme et à l'ensoleillement) ainsi que le projet ajaccien, qui est associé à une Corse touristique et résidentielle.","2026-01-29 23:04:10.827185"
