chunk_index,chunk_id,question_index,question,answer
0,0,0,Quels sont les noms mentionnés dans le texte ?,"Alain Di Meglio, Lochi, Mondu, AlBIAnA UN IVERSITÀ DI CORSICA"
0,0,1,Quel est le lieu mentionné dans le texte ?,La Corse
1,1,0,Quel est le nom de l'événement organisé par la Collectivité de Corse ?,B3C - Boosr Cultural Comperencc in Corsica
1,1,1,Qui est l'organisateur de l'événement Lochimondu ?,La Collectivité de Corse
2,2,0,Quel est le titre de l'ouvrage d'Alain Di Meglio ?,"En chaque lieu, la Corse"
2,2,1,Quel est le nom de l'éditeur de l'ouvrage ?,Albiana
3,3,0,Quel est le titre du texte situé à la page 22 ?,Acqua Nera in Prunete - 0 lu trenu di a Corsica
3,3,1,Quel est le titre du texte situé à la page 13 ?,Araguina -A tinta decana di a Corsica
4,4,0,Quel est le titre en français de l'œuvre située à la page 38 ?,Moulins dans le vent de l'histoire
4,4,1,Quel est le titre en français de l'œuvre située à la page 35 ?,Aullène protestataire puis protestant
5,5,0,Quel est le titre de l'ouvrage qui commence par 'U cunventu d'Alisgiani' ?,"Il était une fois la révolution, un roi et une reine"
5,5,1,Quel est le titre de l'ouvrage qui commence par 'A lingua di i Bunifazinchi' ?,La langue des Bonifaciens
6,6,0,Quel est le titre de l'article situé à la page 59 ?,Une certaine idée de la langue corse
6,6,1,Quel est le titre de l'article situé à la page 65 ?,Une minorité historique en Corse
7,7,0,Quelle est la page associée à l'article sur les ingrédients de la colère ?,71
7,7,1,Quel est le titre de l'article en page 76 ?,U vechju liceu di Bastia -I gesuiti in Corsica
8,8,0,Quel est le titre de l'article situé à la page 86 ?,Joyaux del' art roman
8,8,1,Quel est le titre de l'article situé à la page 91 ?,Furiani -Bastia Nizza: avissimu puri persu
9,9,0,Quelle est la page où se trouve l'information sur la naissance de la langue corse ?,98
9,9,1,Quel est le titre de la section qui commence à la page 101 ?,Corscia - Una storia strangulata
10,10,0,Quel est le titre en français de l'article situé à la page 125 ?,Une conscience du trésor linguistique
10,10,1,Quel est le titre en français de l'article situé à la page 114 ?,Un point de vue sur Bastia
11,11,0,Quel est le numéro de page associé à l'entrée 'Une rivière pour du courant' ?,131
11,11,1,Quelle est la dernière entrée mentionnée dans le texte ?,Sources bibliographiques
12,12,0,Quel est le texte fourni ?,LocHr MoNnu
12,12,1,Y a-t-il des informations supplémentaires dans le texte ?,Non
13,13,0,En quelle année les chroniques ont-elles été publiées pour la première fois ?,2011
13,13,1,Quel prix a été remporté par les chroniques en 2012 ?,le prix Don Joseph Morellini
14,14,0,Quelle est la structure des écrits mentionnés dans le texte ?,La structure est en langue de petits écrits.
14,14,1,Qui a proposé le terme de 'Prose elzevire' ?,Ghjacumu Fusina.
15,15,0,Qui a dirigé les stations de Frequence Mora ?,Roben Kudelka
15,15,1,Qui a dirigé les programmes ?,Isabelle Beziers
16,16,0,Qui est remercié par l'auteur dans le texte?,Ghjuvan Petru Brunini
16,16,1,Quel terme a été inventé par Ceccè Lanfranchi dans sa poésie?,lochi mondu
17,17,0,Qui a écrit la poésie éponyme mentionnée dans le texte ?,Ceccè Lanfranchi
17,17,1,Quelle radio locale a initié les textes en corse et en français en 2008 ?,RCFM
18,18,0,Quel format de littérature est décrit dans le texte ?,Une littérature qui prend la forme d'une oralité écrite.
18,18,1,Quel auteur a déjà présenté ce format de littérature ?,Jacques Fusina.
19,19,0,Qui a dirigé la station Frequenza Mora à l'époque mentionnée dans le texte ?,Robert Kudelka
19,19,1,Quel format a stabilisé l'auteur au fil des chroniques ?,Un billet qui met le lieu dans sa perspective historique
20,20,0,Quelle est la perspective adoptée par le texte pour aborder le présent corse ?,historique
20,20,1,Comment le texte aborde-t-il la subjectivité de son contenu ?,Le texte assume cette part de subjectivité qui lie l'auteur à la Corse et aux Corses.
21,21,0,Quelle est la signification de l'expression « locu mondu » dans le texte ?,"L'expression « locu mondu » est utilisée pour exprimer l'esprit de textes qui oscillent entre le regard, la fascination et la pensée."
21,21,1,Qui a permis à l'auteur d'utiliser la notion de « locu mondu » ?,Ceccè Lanfranchi.
22,22,0,Quelle est l'âge estimé du squelette découvert en 1972 à Bonifaziu ?,6 570 ans
22,22,1,Quelle est la période à laquelle le squelette découvert à Bonifaziu est daté ?,Le pré-néolithique
23,23,0,Quels sont les deux archéologues qui ont avancé l'hypothèse d'un groupe humain venant de Sardaigne ?,François De Lanfranchi et Michel-Claude Weiss.
