Titre,Champ,Valeur
Lochi mondu,title,Lochi mondu
Lochi mondu,alternative,Cronachi di a Frequenza mora
Lochi mondu,description,"Cet ouvrage est un recueil de nouvelles en langue corse, qui se passent en Corse et dépeignent la vision que l'auteur a de notre société.
(93 p.)"
Lochi mondu,subject,discipline: Littératures
Lochi mondu,subject,Roman
Lochi mondu,subject,Langue corse
Lochi mondu,subject,Corse
Lochi mondu,subject,Nouvelle
Lochi mondu,subject,Méditerranée
Lochi mondu,subject,Moeurs
Lochi mondu,subject,Société
Lochi mondu,type,Livres et chapitres d'ouvrages
Lochi mondu,identifier,ISBN : 978-2-84698-406-5
Lochi mondu,identifier,"Identifiant pérenne de la notice : http://www.sudoc.fr/157153495 

Worldcat : 779703524 "
Lochi mondu,creator,"di Meglio, Alain"
Lochi mondu,publisher,Albiana
Lochi mondu,publisher,Centru Culturale Universitariu (Università di Corsica Pasquale Paoli)
Lochi mondu,language,Corse
Lochi mondu,date,2011
Lochi mondu,spatial,Médiathèque Culturelle de la Corse et des Corses (Corte)
Lochi mondu,spatial,Corse
Lochi mondu,rights,"Tous droits de publication, de traduction, de reproduction réservés pour tous pays"
Lochi mondu,license,"Cette œuvre est mise à disposition selon les termes de la Licence Creative Commons Attribution - Pas d'Utilisation Commerciale - Pas de Modification 4.0 International, à la condition expresse de citer l’institution de conservation et l'identifiant de la ressource comme suit : « Médiathèque Culturelle de la Corse, [identifiant de la ressource] »."
Lochi mondu,title,Lochi mondu
Lochi mondu,alternative,"Chroniques bilingues de Radio corsica ""Frequenza Mora"""
Lochi mondu,description,"La Corse est un archipel. À chaque paysage sa beauté, à chaque lieu son histoire. L'île, depuis ses origines, cultive un goût particulier pour le singulier, l'original et l'extraordinaire. À la façon d'un dictionnaire amoureux de la Corse, les chroniques radiophoniques bilingues réunies ici ouvrent les chemins de l'île plurielle. Il suffit de les suivre pour découvrir que chaque parcelle ici est un lieu-monde, particulier et universel. A Corsica hè un arcipelagu. Biddezza d'ugni locu è storia azzingata. L'isula dapoi sempri, li piaci à mantena u soiu sputicu, urighjinali è strasurdinariu. Cù a manera di un dizziunariu innamuratu di a Corsica, i cronichi radiufonichi bislingui aduniti quì aprini i chjassi di l'isula plurali. Basta à incaminassi par iscopra chì ugni lenza quì hè un locu mondu, particulari è universali. (éditeur)"
Lochi mondu,tableOfContents,
Lochi mondu,subject,Chroniques
Lochi mondu,subject,Radio
Lochi mondu,subject,Patrimoine corse
Lochi mondu,subject,discipline: Littératures
Lochi mondu,type,Livres et chapitres d'ouvrages
Lochi mondu,identifier,ISBN : 9782846984065
Lochi mondu,creator,"Di Meglio, Alain"
Lochi mondu,publisher,Albiana
Lochi mondu,language,Corse
Lochi mondu,language,Français
Lochi mondu,date,2023
Lochi mondu,spatial,Médiathèque Culturelle de la Corse et des Corses
Lochi mondu,temporal,1er quart XXIe siècle
Lochi mondu,temporal,[2000 TO 2025]
Lochi mondu,rights,Droits de numérisation et d' exploitation numérique négociés avec l'éditeur
Lochi mondu,license,"Cette œuvre est mise à disposition selon les termes de la Licence Creative Commons Attribution - Pas d'Utilisation Commerciale - Pas de Modification 4.0 International, à la condition expresse de citer l’institution de conservation et l'identifiant de la ressource comme suit : « Médiathèque Culturelle de la Corse, [identifiant de la ressource] »."
Lochi mondu,numPages,134
Lochi mondu,isbn,978-2-8241-1262-6
Lochi mondu,shortTitle,Lochi mondu
Lochi mondu,text,
Lochi mondu,extracted_text,
