type,model,execution_time,expected_score,question_text,score,question_id,human_answer,feedback,combination_size
individual,google:gemini-3.5-flash-lite,5.72,7,Pourquoi la langue corse présente-t-elle des variations selon les régions ?,4,452,parce que chacun va dire la sienne,C est une formulation bien familiere ! La langue corse reflete effectivement le desir des differentes communautes de marquer leur propre identite et de se distinguer les unes des autres. Comment cette volonte de se differencier se traduit-elle plus precisement dans l evolution de la langue ?,
combination,google:gemini-3.5-flash-lite,,7,Pourquoi la langue corse présente-t-elle des variations selon les régions ?,4.0,452,parce que chacun va dire la sienne,,1
individual,google:gemini-3.5-flash-lite,0,7,Pourquoi la langue corse présente-t-elle des variations selon les régions ?,0,452,Les habitants d’une région veulent pouvoir se distinguer des autres,Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,7,Pourquoi la langue corse présente-t-elle des variations selon les régions ?,0.0,452,Les habitants d’une région veulent pouvoir se distinguer des autres,,1
individual,google:gemini-3.5-flash-lite,0,8,Pourquoi la langue corse présente-t-elle des variations selon les régions ?,0,452,les variations existent pour que les différents groupes puissent se distinguer,Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,8,Pourquoi la langue corse présente-t-elle des variations selon les régions ?,0.0,452,les variations existent pour que les différents groupes puissent se distinguer,,1
individual,google:gemini-3.5-flash-lite,0,4,Quelle est la différence entre les formes « s’hè » et « s’è » en corse ?,0,675,« s’hè » c’est le verbe « esse »,Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,4,Quelle est la différence entre les formes « s’hè » et « s’è » en corse ?,0.0,675,« s’hè » c’est le verbe « esse »,,1
individual,google:gemini-3.5-flash-lite,0,7,Quelle est la différence entre les formes « s’hè » et « s’è » en corse ?,0,675,"« s’hè » est la forme réfléchie de « esse », et « s’è » est la contraction de « si », et « è »",Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,7,Quelle est la différence entre les formes « s’hè » et « s’è » en corse ?,0.0,675,"« s’hè » est la forme réfléchie de « esse », et « s’è » est la contraction de « si », et « è »",,1
individual,google:gemini-3.5-flash-lite,0,3,Quels exemples concrets sont donnés dans le texte pour illustrer l'idée que la consommation culturelle remplace partiellement le rôle de la langue dans l'identité corse ?,0,2534,"si quelqu un mange corse, alors il est corse",Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,3,Quels exemples concrets sont donnés dans le texte pour illustrer l'idée que la consommation culturelle remplace partiellement le rôle de la langue dans l'identité corse ?,0.0,2534,"si quelqu un mange corse, alors il est corse",,1
individual,google:gemini-3.5-flash-lite,0,7,Quels exemples concrets sont donnés dans le texte pour illustrer l'idée que la consommation culturelle remplace partiellement le rôle de la langue dans l'identité corse ?,0,2534,"Autrement que la maîtrise de la langue, manger local, acheter les vêtements ici, supporter le Sporting sont autant de moyens de se considérer Corse",Erreur: Unsupported role: assistant,
combination,google:gemini-3.5-flash-lite,,7,Quels exemples concrets sont donnés dans le texte pour illustrer l'idée que la consommation culturelle remplace partiellement le rôle de la langue dans l'identité corse ?,0.0,2534,"Autrement que la maîtrise de la langue, manger local, acheter les vêtements ici, supporter le Sporting sont autant de moyens de se considérer Corse",,1
individual,google:gemini-3.5-flash-lite,0,9,Quels exemples concrets sont donnés dans le texte pour illustrer l'idée que la consommation culturelle remplace partiellement le rôle de la langue dans l'identité corse ?,0,2534,"La consommation culturelle, comme par exemple la gastronomie, la mode, les cosmétiques, et le Sporting, est un élément qui permet de revendiquer une appartenance à la Corse, même sans maîtriser sa langue.",Erreur: Unsupported role: assistant,
