chunk_index,chunk_id,question_index,question,answer
0,0,0,Quel est le nom de l'université mentionnée dans le texte ?,AlBIAnA UN IVERSITÀ DI CORSICA
0,0,1,Quel est le lieu où l'université est située ?,La Corse
1,1,0,Quel est l'organisme principal qui finance le projet Lochimondu ?,La Collectivité de Corse
1,1,1,Quel est le nom complet de l'organisation qui finance le projet Lochimondu ?,Collectivité de Corse
2,2,0,Quel est le nom de l'auteur du texte ?,Alain Di Meglio
2,2,1,Quel est le titre du texte ?,Lochimondu
3,3,0,Quel est le titre du chapitre qui parle de la doyenne corse?,La doyenne corse
3,3,1,Quel est le titre du chapitre qui parle de la grotte de Circinellu?,La grotte de Circinellu
4,4,0,"Quel est le titre du texte suivant : 'L'Homme et le Lion, ou la dérive des îles' ?","L'Homme et le Lion, ou la dérive des îles"
4,4,1,Quel est le titre du texte suivant : 'A la recherche du chant perdu' ?,A la recherche du chant perdu
5,5,0,Quel est le titre du texte qui commence par 'Moulins dans le vent de l'histoire' ?,Moulins dans le vent de l'histoire
5,5,1,Quel est le titre du texte qui commence par 'U cunventu d'Alisgiani -' ?,U cunventu d'Alisgiani -
6,6,0,Quel est le titre du texte en français ?,Maîtres de la Corse
6,6,1,Quel est le sujet principal du texte ?,Les îles jumelles et légendes sœurs
7,7,0,Quel est le sujet principal du texte concernant Capraia et Maddalena ?,Ces îles qui nous manquent
7,7,1,Quel est le thème abordé dans la section sur Bustanicu ?,Les ingrédients de la colère
8,8,0,Quel est le titre du premier texte mentionné dans le texte ?,Galeria
8,8,1,Quel est le titre du texte situé à la page 85 ?,San Michele di Muratu
9,9,0,Quel est le nom de la langue corse et où est-elle née selon le texte ?,La langue corse est née sur une frontière.
9,9,1,Quel est le titre du texte qui parle de la mémoire garrottée de Corsica ?,Corscia - Una storia strangulata
10,10,0,Quel est le titre du texte qui commence par 'U Comptoir-L'ultimalenzasacra' ?,U Comptoir-L'ultimalenzasacra
10,10,1,Quel est le titre du texte qui parle de 'Santa Lucia' ?,A croce di Santa Lucia
